CLIENTNUM,Attrition_Flag,churn_probability,predicted_churn,risk_level,cluster,segment_name,PC1,PC2,Customer_Age,Gender,Total_Trans_Amt,Total_Trans_Ct,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Utilization_Ratio
768805383,Existing Customer,0.0047,0,Low,0,Accelerating Growth Customers,-0.63,1.927,45,M,1144,42,1,3,12691.0,777,0.061
818770008,Existing Customer,0.0003,0,Low,0,Accelerating Growth Customers,0.083,6.758,49,F,1291,33,1,2,8256.0,864,0.105
713982108,Existing Customer,0.1745,0,Low,0,Accelerating Growth Customers,0.116,6.25,51,M,1887,20,1,0,3418.0,0,0.0
769911858,Existing Customer,0.1709,0,Low,0,Accelerating Growth Customers,-0.823,5.277,40,F,1171,20,4,1,3313.0,2517,0.76
709106358,Existing Customer,0.0005,0,Low,0,Accelerating Growth Customers,-0.096,5.856,40,M,816,28,1,0,4716.0,0,0.0
713061558,Existing Customer,0.193,0,Low,0,Accelerating Growth Customers,-1.23,1.5,44,M,1088,24,1,2,4010.0,1247,0.311
810347208,Existing Customer,0.0641,0,Low,0,Accelerating Growth Customers,-0.862,0.157,51,M,1330,31,1,3,34516.0,2264,0.066
818906208,Existing Customer,0.1048,0,Low,0,Accelerating Growth Customers,0.241,0.723,32,M,1538,36,2,2,29081.0,1396,0.048
710930508,Existing Customer,0.0069,0,Low,0,Accelerating Growth Customers,-0.154,4.608,37,M,1350,24,2,0,22352.0,2517,0.113
719661558,Existing Customer,0.202,0,Low,0,Accelerating Growth Customers,-1.575,0.947,48,M,1441,32,3,3,11656.0,1677,0.144
708790833,Existing Customer,0.1942,0,Low,2,Disengaged & Underutilized (At-Risk),-1.428,-0.021,42,M,1201,42,3,2,6748.0,1467,0.217
710821833,Existing Customer,0.0449,0,Low,0,Accelerating Growth Customers,-1.55,1.933,65,M,1314,26,2,3,9095.0,1587,0.174
710599683,Existing Customer,0.265,0,Medium,0,Accelerating Growth Customers,0.806,8.471,56,M,1539,17,6,0,11751.0,0,0.0
816082233,Existing Customer,0.0099,0,Low,0,Accelerating Growth Customers,-0.854,2.788,35,M,1311,33,1,3,8547.0,1666,0.195
712396908,Existing Customer,0.5821,1,High,0,Accelerating Growth Customers,-1.718,0.837,57,F,1570,29,2,2,2436.0,680,0.279
714885258,Existing Customer,0.0459,0,Low,0,Accelerating Growth Customers,-0.991,3.641,44,M,1348,27,1,2,4234.0,972,0.23
709967358,Existing Customer,0.3828,0,Medium,0,Accelerating Growth Customers,-1.028,0.244,48,M,1671,27,2,3,30367.0,2362,0.078
